City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,18.58,78,1,1.6,US,1723084218
1,notodden,59.5594,9.2585,12.78,84,99,1.94,NO,1723084219
2,yellowknife,62.456,-114.3525,21.9,46,20,5.14,CA,1723084220
3,kapuskasing,49.4169,-82.4331,18.05,72,100,1.54,CA,1723083761
4,kibiti,-7.7218,38.9375,18.32,97,95,1.25,TZ,1723084222
5,ushuaia,-54.8,-68.3,0.81,80,40,1.03,AR,1723084142
6,tsiombe,-25.3,45.4833,18.59,92,4,3.64,MG,1723084224
7,port-aux-francais,-49.35,70.2167,0.59,96,100,11.08,TF,1723084225
8,wailua homesteads,22.0669,-159.378,28.44,70,20,6.69,US,1723084227
9,badger,64.8,-147.5333,25.14,51,94,1.67,US,1723084228
10,nova vicosa,-17.8919,-39.3719,21.45,73,1,3.15,BR,1723084229
11,grytviken,-54.2811,-36.5092,-10.01,74,21,4.68,GS,1723084230
12,puerto ayora,-0.7393,-90.3518,19.19,97,86,3.58,EC,1723084231
13,bethel,41.3712,-73.414,18.64,89,100,1.04,US,1723084232
14,edinburgh of the seven seas,-37.0676,-12.3116,9.19,53,100,10.87,SH,1723084233
15,ribeira grande,38.5167,-28.7,23.21,80,0,2.68,PT,1723084234
16,chonchi,-42.6128,-73.8092,4.56,97,22,0.51,CL,1723084235
17,bilibino,68.0546,166.4372,14.67,37,16,4.8,RU,1723084237
18,meulaboh,4.1363,96.1285,25.35,88,98,2.95,ID,1723083721
19,saint-philippe,-21.3585,55.7679,18.77,82,16,2.36,RE,1723083884
20,sitka,57.0531,-135.33,16.94,82,20,1.54,US,1723084174
21,tazovsky,67.4667,78.7,8.55,76,46,5.47,RU,1723083826
22,nemuro,43.3236,145.575,17.38,100,100,2.32,JP,1723084242
23,rio gallegos,-51.6226,-69.2181,1.03,64,0,2.57,AR,1723084084
24,cestos city,5.46,-9.5828,24.01,81,100,4.52,LR,1723083701
25,lospalos,-8.5186,127.0025,25.93,65,94,6.3,TL,1723084245
26,bredasdorp,-34.5322,20.0403,8.15,95,0,2.05,ZA,1723084246
27,longyearbyen,78.2186,15.6401,10.91,93,75,0.0,SJ,1723084197
28,suzun,53.7841,82.3116,20.48,83,92,2.09,RU,1723084249
29,lompoc,34.6391,-120.4579,23.72,73,0,5.66,US,1723084250
30,adamstown,-25.066,-130.1015,19.47,65,94,1.75,PN,1723084251
31,holualoa,19.6228,-155.9522,25.31,79,26,0.45,US,1723084252
32,anadyr,64.75,177.4833,10.28,71,40,5.0,RU,1723084253
33,essaouira,31.5125,-9.77,20.72,94,4,3.09,MA,1723084254
34,vangaindrano,-23.35,47.6,19.97,87,92,1.24,MG,1723084255
